male,female,소재지도로명주소,소재지지번주소
True,True,경기도 수원시 영통구 봉영로 지하 1670(영통동),경기도 수원시 영통구 영통동 1055
True,True,경기도 수원시 영통구 동탄지성로 520,경기도 수원시 영통구 망포동 755
True,True,경기도 수원시 영통구 광교호수공원로 102 (하동),경기도 수원시 영통구 하동 1023공 (호수공원관리사무소)
False,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 999공 (호수공원)
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원)
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원)
True,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 998공 (호수공원)
True,True,경기도 수원시 영통구 광교중앙로 124(하동),경기도 수원시 영통구 하동 871-1
True,True,경기도 수원시 영통구 삼성로 2(신동),경기도 수원시 영통구 신동 941
True,True,경기도 수원시 영통구 광교로 191(이의동),경기도 수원시 영통구 이의동 1240
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024(광교호수공원)
True,True,경기도 수원시 영통구 중부대로 339(원천동),경기도 수원시 영통구 원천동 610
True,True,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-4
True,True,경기도 수원시 영통구 센트럴타운로 106,경기도 수원시 영통구 이의동 1322-5
False,True,경기도 수원시 영통구 권광로 260번길 36(매탄동),경기도 수원시 영통구 매탄동 176
True,True,경기도 수원시 영통구 태장로 54번길 92(망포동),경기도 수원시 영통구 망포동 649-38
True,True,경기도 수원시 영통구 청명로92(영통동),경기도 수원시 영통구 영통동 1046-2
True,True,경기도 수원시 영통구 봉영로 1560 지하 1층 (영통동),경기도 수원시 영통구 영통동 1055
True,True,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시 영통구 영통동 961-1
True,True,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 영통구 매탄동 1268
True,True,경기도 수원시 영통구 영통로 396(영통동),경기도 수원시 영통구 영통동 961-18
True,True,경기도 수원시 영통구 반달로 105(영통동),경기도 수원시 영통구 영통동 1011-3
True,True,경기도 수원시 영통구 영통로217번길 12(영통동),경기도 수원시 영통구 영통동 977-3
True,True,경기도 수원시 영통구 봉영로1759번길 23(영통동),경기도 수원시 영통구 영통동 947-6
True,True,경기도 수원시 영통구 센트럴타운로 107(이의동),경기도 수원시 영통구 이의동 1331
