male,female,소재지도로명주소,소재지지번주소,lat,lon
True,True,경기도 수원시 영통구 권선로 841 지하(매탄동),경기도 수원시 매탄동 687-4,37.2528695,127.0405632
True,True,경기도 수원시 영통구 산남로 26-4(매탄동),경기도 수원시 영통구 매탄동 232-2,37.2651019,127.0487112
True,False,경기도 수원시 영통구 동탄원천로881번길 76(매탄동),경기도 수원시 영통구 매탄동 1279-1,37.2564012,127.0430476
True,True,경기도 수원시 영통구 매영로39번길 21(매탄동),경기도 수원시 영통구 매탄2동 198-99,37.2706223,127.0509242
True,True,경기도 수원시 영통구 인계로189번길 119(매탄동),경기도 수원시 영통구 매탄동 176-4,37.2705246,127.0405176
True,True,경기도 수원시 영통구 동탄원천로915번길 36(매탄동),경기도 수원시 영통구 매탄동 1277,37.2569471,127.0448232
True,True,경기도 수원시 영통구 효원로 415(매탄동),경기도 수원시 영통구 매탄동 1268,37.2592055,127.0465968
True,True,경기도 수원시 영통구 동탄지성로 549-15(망포동),경기도 수원시 영통구 망포동 76-10,37.2399402,127.0451152
True,True,경기도 수원시 영통구 태장로54번길 10(망포동),경기도 수원시 영통구 망포동 234-43,37.238809,127.0516471
True,True,경기도 수원시 영통구 센트럴타운로 22(이의동),경기도 수원시 영통구 이의동 1328-1,37.28947369999999,127.0569175
True,True,경기도 수원시 영통구 법조로149번길 155(하동),경기도 수원시 영통구 하동 976,37.2922591,127.0701199
True,True,경기도 수원시 영통구 도청로89번길 20(이의동),경기도 수원시 영통구 이의동 1350,37.2901557,127.0474744
True,True,경기도 수원시 영통구 봉영로 지하 1670(영통동),경기도 수원시 영통구 영통동 1055,37.2569232,127.0759624
True,True,경기도 수원시 영통구 동탄지성로 520,경기도 수원시 영통구 망포동 755,37.2394417,127.0467345
True,True,경기도 수원시 영통구 광교호수공원로 102 (하동),경기도 수원시 영통구 하동 1023공 (호수공원관리사무소),37.2830911,127.0659215
False,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 999공 (호수공원),37.2830911,127.0659215
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원),37.2830911,127.0659215
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024공 (호수공원),37.2830911,127.0659215
True,True,경기도 수원시 영통구 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 998공 (호수공원),37.2830911,127.0659215
True,True,경기도 수원시 영통구 광교중앙로 124(하동),경기도 수원시 영통구 하동 871-1,37.2872409,127.0726566
True,True,경기도 수원시 영통구 삼성로 2(신동),경기도 수원시 영통구 신동 941,37.2460774,127.0486488
True,True,경기도 수원시 영통구 광교로 191(이의동),경기도 수원시 영통구 이의동 1240,37.296575,127.0477062
True,True,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024(광교호수공원),37.2818116,127.0664223
True,True,경기도 수원시 영통구 중부대로 339(원천동),경기도 수원시 영통구 원천동 610,37.2735271,127.0532684
True,True,경기도 수원시 영통구 영통로 498,경기도 수원시 영통구 영통동 955-4,37.2623062,127.0808452
True,True,경기도 수원시 영통구 센트럴타운로 106,경기도 수원시 영통구 이의동 1322-5,37.2927328,127.0501699
False,True,경기도 수원시 영통구 권광로 260번길 36(매탄동),경기도 수원시 영통구 매탄동 176,37.2711785,127.0397284
True,True,경기도 수원시 영통구 태장로 54번길 92(망포동),경기도 수원시 영통구 망포동 649-38,37.2349645,127.0515912
True,True,경기도 수원시 영통구 청명로92(영통동),경기도 수원시 영통구 영통동 1046-2,37.2548382,127.0778241
True,True,경기도 수원시 영통구 봉영로 1560 지하 1층 (영통동),경기도 수원시 영통구 영통동 1055,37.2569232,127.0759624
True,True,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시 영통구 영통동 961-1,37.2551969,127.0707108
True,True,경기도 수원시 영통구 효원로 407(매탄동),경기도 수원시 영통구 매탄동 1268,37.2592055,127.0465968
True,True,경기도 수원시 영통구 영통로 396(영통동),경기도 수원시 영통구 영통동 961-18,37.2568077,127.0694354
True,True,경기도 수원시 영통구 반달로 105(영통동),경기도 수원시 영통구 영통동 1011-3,37.2525674,127.076906
True,True,경기도 수원시 영통구 영통로217번길 12(영통동),경기도 수원시 영통구 영통동 977-3,37.2469368,127.0562847
True,True,경기도 수원시 영통구 봉영로1759번길 23(영통동),경기도 수원시 영통구 영통동 947-6,37.2663538,127.0805607
True,True,경기도 수원시 영통구 센트럴타운로 107(이의동),경기도 수원시 영통구 이의동 1331,37.2919128,127.048377
