화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
장암동주민센터 1층,"경기도 의정부시 장곡로250번길 23 (장암동, 장암동주민센터)",N,09:00~18:00,1,1,37.7263499,127.0542353
의정부 예술의전당,"경기도 의정부시 의정로 1 (의정부동, 의정부예술의전당)",N,09:00~18:00,1,1,37.7332855,127.034118
호원1동주민센터 1층,"경기도 의정부시 평화로230번길 12-9 (호원동, 호원1동주민센터)",N,00:00~00:00,0,1,37.7119471,127.0487383
흥선동 행정복지센터 2층,"경기도 의정부시 흥선로 20 (가능동, 흥선동행정복지센터)",N,09:00~18:00,1,1,37.746796,127.030573
흥선동 행정복지센터 3층,"경기도 의정부시 흥선로 20 (가능동, 흥선동행정복지센터)",N,09:00~18:00,1,1,37.746796,127.030573
백석천 근린공원,경기도 의정부시 경의로55번길 21  (의정부동),Y,00:00~00:00,0,1,37.7339997,127.0409769
배꽃근린공원,경기도 의정부시 고산동 866,Y,00:00~00:00,1,1,37.7457681,127.1195577
추동웰빙공원,경기도 의정부시 금신로257번길 40 (신곡동),Y,00:00~00:00,1,1,37.7432069,127.0656745
신곡배수지공원 화장실,경기도 의정부시 동일로506번길 26-36 (신곡동),Y,00:00~00:00,0,1,37.7322882,127.0605801
무지랭이 약수터,경기도 의정부시 민락동 31-1,N,00:00~00:00,0,2,37.7532557,127.1241624
활기체육공원(축구장)화장실,경기도 의정부시 민락로 279 (민락동),Y,00:00~00:00,1,1,37.7482763,127.1074893
송산사지(한옥)화장실,경기도 의정부시 민락로 296 (민락동),Y,00:00~00:00,1,1,37.7470712,127.1102731
푸른마당근린공원(부메랑)화장실,경기도 의정부시 민락로 299 (민락동),Y,00:00~00:00,1,1,37.7495622,127.1087059
플래티넘프라자,"경기도 의정부시 청사로 45 (금오동, 플래티넘프라자)",N,00:00~00:00,1,1,37.752244,127.0696035
의정부터미널,경기도 의정부시 동일로 640 (금오동),N,00:00~00:00,1,1,37.7452237,127.0551502
하나프라자,경기도 의정부시 외미로 95 (호원동),N,00:00~00:00,1,1,37.7245939,127.0459005
흥선동 행정복지센터 1층,"경기도 의정부시 흥선로 20 (가능동, 흥선동행정복지센터)",N,09:00~17:30,1,1,37.746796,127.030573
의정부정보도서관 지하1층,"경기도 의정부시 의정로 41 (의정부동, 의정부정보도서관겸의회청)",Y,07:00~00:00,0,1,37.7366126,127.0340397
의정부시 도시농업기술과 교육관 1층,"경기도 의정부시 시민로416번길 113 (용현동, 의정부시도시농업과)",N,09:00~18:00,0,1,37.7287174,127.0771995
의정부시 도시농업기술과 본관 1층,"경기도 의정부시 시민로416번길 113 (용현동, 의정부시도시농업과)",N,09:00~18:00,1,1,37.7287174,127.0771995
