화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
어린이공원 9호,경기도 김포시 태장로769번길 34,Y,상시,1,1,37.6389904,126.6831801
모담공원,경기도 김포시 전원로 43,Y,상시,1,1,37.6485165,126.6871168
나래울공원,경기도 김포시 김포한강11로438번길 8-52,Y,상시,1,0,37.6518674,126.6964884
호수공원,경기도 김포시 김포한강8로 302,Y,상시,1,1,37.64666270000001,126.6361606
은여울공원,경기도 김포시 김포한강8로 97,Y,상시,1,1,37.6349751,126.6371086
마리미공원,경기도 김포시 김포한강7로22번길 174-6,Y,상시,1,1,37.6414451,126.6401834
솔터공원,경기도 김포시 김포한강7로22번길 145(마산동),Y,상시,1,1,37.6412938,126.6385733
문수산 등산로 공중화장실,경기도 김포시 월곶면 김포대학로 157-11,Y,상시,1,0,37.7307534,126.551562
모담산 유아숲체험원,경기도 김포시 전원로 43,Y,상시,1,1,37.6485165,126.6871168
계양천 산책로 공중화장실,경기도 김포시 사우로 63번길 33-20,Y,상시,1,1,37.6212759,126.7303007
동성산 숲길 공중화장실,경기도 김포시 하성면 하성로 535,Y,상시,1,1,37.730371,126.6344072
가현산2 등산로 공중화장실,경기도 김포시 양촌읍 김포한강8로 100-63,Y,상시,1,1,37.631494,126.6374365
솔터힐링 숲체험원 공중화장실,경기도 김포시 김포한강3로 313(장기동),Y,상시,1,1,37.6380179,126.6601498
평생학습관,경기도 김포시 사우중로3번길 13-17,N,9시-18시,1,1,37.6158403,126.7145162
평생학습관 대강당,경기도 김포시 사우중로3번길 13-17,N,9시-18시,1,1,37.6158403,126.7145162
구래동행정복지센터,경기도 김포시 김포한강9로115번길 25,Y,9시-18시,1,1,37.6465042,126.6237335
"태산패밀리파크
(야외화장실)",경기도 김포시 하성면 하성로 585,Y,상시,1,1,37.7246816,126.6300642
태산패밀리파크(사계정원화장실),경기도 김포시 하성면 하성로 575,Y,상시,1,1,37.7245708,126.6305288
"문수산산림욕장
(야외화장실)",경기도 김포시 월곶면 문수산로 102-38,Y,상시,1,2,37.737325,126.5307157
"하동천생태탐방로
(야외화장실)",경기도 김포시 하성면 누산봉성로 294,Y,9시-18시,1,1,37.6917725,126.653476
대명항_대명항화장실,경기도 김포시  대곶면 대명항1로 109,Y,상시,1,1,37.6393809,126.5419305
덕포진 사적지 화장실,경기도 김포시 대곶면 덕포진로 103번길130,Y,9시-18시,1,1,37.650103,126.5370595
사우문화체육광장,경기도 김포시 사우중로 26,Y,상시,1,1,37.6169542,126.7177389
시민회관,경기도 김포시 사우중로 26,N,9시-18시,1,1,37.6169542,126.7177389
김포종합운동장,경기도 김포시 돌문로15번길 20,N,6시-22시,1,1,37.6175169,126.7200752
풍무국민체육센터,경기도 김포시 양도로56번길 101,N,6시-22시,2,2,37.60183749999999,126.729667
걸포다목적체육관,경기도 김포시 걸포1로 60-42,Y,6시-22시,1,1,37.6345169,126.709502
노을체육관,경기도 김포시 고촌읍 신곡로3번길 34-15,Y,6시-22시,0,1,37.6045723,126.7729213
통진문화회관,경기도 김포시 통진읍 김포대로 2110-30,N,6시-21시,4,4,37.6854974,126.6088596
농어민체육관,경기도 김포시 통진읍 율마로384번길 17,N,9시-22시,1,1,37.6851702,126.601157
청계 하청계교,경기도 의왕시 청계천자전거3길 30 (청계동),Y,24시간,1,1,37.39752600000001,127.0063555
청계동 주민센터,"경기도 의왕시 안양판교로 232, 청계동주민센터 (포일동)",N,근무중,1,1,37.38855179999999,126.9959158
청계사 경내,"경기도 의왕시 청계로 475, 청계사 (청계동)",Y,24시간,1,1,37.4117554,127.0352343
청계사 하부,"경기도 의왕시 청계로 475, 청계사 (청계동)",Y,24시간,1,1,37.4117554,127.0352343
청계산 문화화장실,"경기도 의왕시 청계로 321, 청계산문화화장실 (청계동)",Y,24시간,1,1,37.4064309,127.0225951
청계종합사회복지관,"경기도 의왕시 덕장로 19, 청계종합사회복지관 (청계동)",Y,근무중,1,1,37.3913071,126.9950611
청소년 안전교육센터,"경기도 의왕시 왕곡로 2, 안전교육센터 (왕곡동)",N,근무중,1,1,37.3467824,126.9751955
초평교 공영주차장,경기도 의왕시 초평로 5 (초평동),Y,24시간,1,1,37.3184713,126.9456323
평생학습관,"경기도 의왕시 오전로 122, 의왕시 평생학습관 (오전동)",N,근무중,1,1,37.3550606,126.9753646
왕송호수공원 레일바이크 매표소,경기도 의왕시 왕송못동로 221 (초평동),Y,24시간,1,1,37.3096634,126.9507664
월암동 누리길,경기도 의왕시 덕영대로 299 (월암동),Y,24시간,1,1,37.3059927,126.9582645
의왕 SK셀프 주유소,"경기도 의왕시 오봉로 182, 의왕주유소 (이동)",N,영업중,1,1,37.3348128,126.9602833
의왕 경찰서,"경기도 의왕시 오봉로 10, 의왕경찰서 (고천동)",Y,24시간,1,1,37.344535,126.9742648
의왕 소방서,"경기도 의왕시 오봉로 9, 의왕소방서 (고천동)",N,24시간,1,1,37.3441452,126.9748094
의왕 제1터미널,"경기도 의왕시 창말로 39, 의왕제1터미널 (이동)",N,영업중,1,1,37.3362921,126.9555407
의왕 휴게소 (하행),"경기도 의왕시 오전로 24, 경기남부도로 (왕곡동)",N,24시간,1,1,37.3480759,126.9837278
의왕 휴게소(상행),"경기도 의왕시 오전로 24, 경기남부도로 (왕곡동)",N,24시간,1,1,37.3480759,126.9837278
의왕도시공사,"경기도 의왕시 사천2길 6, 의왕도시공사 (왕곡동)",Y,근무중,1,1,37.3464996,126.9754992
의왕시 보건소,"경기도 의왕시 오봉로 34, 의왕시보건소 (고천동)",N,근무중,1,1,37.3437286,126.9720042
의왕시 종합 사회복지관,"경기도 의왕시 오전로 27, 의왕시종합사회복지관 (고천동)",Y,근무중,1,1,37.348765,126.9813949
의왕오렌지충전소,"경기도 의왕시 경수대로 399, E1 LPG충전소 (오전동)",N,영업중,1,1,37.3593895,126.963876
가막들공원,경기도 의왕시 양지편로 41-2 (청계동),Y,24시간,1,1,37.3922634,126.9964551
갈미 문학공원,경기도 의왕시 계원대학로 48 (내손동),Y,24시간,1,1,37.3789792,126.9771276
갈미중앙공원,경기도 의왕시 갈미로 45 (내손동),Y,24시간,1,1,37.3767556,126.9735036
갈미한글공원,경기도 의왕시 문화예술로 65 (내손동),Y,24시간,1,1,37.3782867,126.9845963
계요병원,"경기도 의왕시 오전로 15, 계요병원 (왕곡동)",Y,진료중,1,1,37.3478378,126.9813658
계원예술대학교,"경기도 의왕시 계원대학로 66, 계원예술대학교 (내손동)",N,24시간,1,1,37.378627,126.9783018
고천 다목적 체육관,"경기도 의왕시 오전로 18, 고천체육공원 (왕곡동)",N,24시간,1,1,37.3471728,126.982503
고천 테니스장,경기도 의왕시 왕곡로 68 (왕곡동),N,24시간,1,1,37.3455606,126.9817746
고천동 주민센터,"경기도 의왕시 사천로 11, 고천동주민센터 (왕곡동)",N,근무중,1,1,37.3457233,126.9768828
교통대 트레일러,"경기도 의왕시 철도박물관로 157, 한국교통대학교, 한국철도공사 인재개발원 (월암동)",Y,24시간,1,1,37.3142064,126.9550296
국민 체육센터,"경기도 의왕시 복지로 27, 의왕국민체육센터 (내손동)",Y,24시간,1,1,37.3815686,126.9747961
글로벌 인재센터,"경기도 의왕시 복지로 36, 글로벌인재센터 (내손동)",N,근무 중,1,1,37.3822645,126.9768913
꿈누리 청소년 수련관,"경기도 의왕시 문화공원로 33, 꿈누리청소년수련관 (고천동)",N,근무중,1,1,37.3419051,126.9719856
내손1동 주민센터,"경기도 의왕시 갈미로 71, 내손1동주민센터 (내손동)",N,근무시간,1,1,37.3782753,126.9756659
내손2동 주민센터,"경기도 의왕시 복지로 109, 내손동 공용청 (내손동)",N,근무중,1,1,37.38753930000001,126.9816303
내손동 우체국,"경기도 의왕시 복지로 14, 내손동우체국 (내손동)",N,근무중,1,1,37.3808294,126.9750147
내손동 체육공원(도서관옆),"경기도 의왕시 내손공원길 39, 내손체육공원 (내손동)",Y,24시간,1,1,37.386668,126.9834463
내손동 체육공원(주민센터 옆),"경기도 의왕시 내손공원길 39, 내손체육공원 (내손동)",N,24시간,1,1,37.386668,126.9834463
대안사 경내,경기도 의왕시 대안사길 75 (왕곡동),Y,24시간,1,1,37.3385252,126.9883107
대현 테크노월드,"경기도 의왕시 오전공업길 19, 대현테크노월드 (오전동)",N,영업중,1,1,37.3552264,126.9660182
도깨비시장,"경기도 의왕시 부곡중앙남1길 23-7, 부곡도깨비시장고객지원센터 (삼동)",Y,24시간,1,1,37.3195914,126.9505496
롯데마트,"경기도 의왕시 계원대학로 7, 롯데마트 (내손동)",Y,영업중,1,1,37.3802426,126.9736716
모락산 약수터,경기도 의왕시 약수터길 22 (내손동),Y,24시간,1,1,37.3830857,126.9852264
문화복지관,"경기도 의왕시 백운로 23, 의왕시 문화복지회관 (오전동)",N,근무 중,1,1,37.3520906,126.9820908
백운 119 안전센터,"경기도 의왕시 안양판교로 187, 백운119안전센터 (청계동)",N,24시간,1,0,37.3904923,126.9926088
백운산 주차장,경기도 의왕시 왕곡로 257 (왕곡동),Y,24시간,1,1,37.3470286,127.0003309
백운호수 주차장,"경기도 의왕시 백운로 526, 백운호수제방주차장 (학의동)",Y,24시간,1,1,37.3831686,127.0009288
백운호수 제방,경기도 의왕시 학현로 263 공중화장실 (학의동),Y,24시간,1,1,37.383174,127.0023194
벽산 선영 테크노피아,"경기도 의왕시 오전공업길 13, 벽산선영테크노피아 (오전동)",N,영업중,1,1,37.3555604,126.9667821
학의천변(백운중방향),경기도 의왕시 학의로 501 (포일동),Y,24시간,0,1,37.3894494,126.9877753
학의천변(한전방향),경기도 의왕시 학의로 501 (포일동),Y,24시간,0,1,37.3894494,126.9877753
다사랑 병원,"경기도 의왕시 등칙골1길 22, 다사랑병원 (오전동)",Y,진료중,1,1,37.3526716,126.9738018
한국철도공사 인재개발원,"경기도 의왕시 철도박물관로 157, 한국교통대학교, 한국철도공사 인재개발원 (월암동)",N,근무중,1,1,37.3142064,126.9550296
현충공원,경기도 의왕시 왕곡로 47-18 (왕곡동),Y,24시간,1,1,37.347688,126.9792192
희망나래 장애인복지관,"경기도 의왕시 오전로 27, 의왕시종합사회복지관 (고천동)",Y,근무중,1,1,37.348765,126.9813949
왕송호수 정차장,경기도 의왕시 왕송못서길 79(초평동),Y,24시간,1,1,37.3097838,126.9440539
장안 근린공원,경기도 의왕시 장안중앙로 31(삼동),Y,24시간,1,1,37.3194125,126.9614601
청계산 주차장,경기도 의왕시 청계로 353(청계동),Y,24시간,1,1,37.4055682,127.0261871
백운 어울공원,"경기도 의왕시 백운호수로 92, 백운어울공원(학의동)",Y,24시간,1,1,37.3727507,127.0076732
백운 맞이공원(롤러장),경기도 의왕시 백운안길 64(학의동),Y,24시간,1,1,37.3656891,127.0038452
포일근린공원(들락날락),경기도 의왕시 안양판교로 78,Y,24시간,1,1,37.3957458,126.9817593
장안지구 유수지,경기도 의왕시 부곡사길 6(삼동),Y,24시간,1,1,37.3177768,126.9585803
대맥 프라자,"경기도 의왕시 안양판교로 213, 대맥프라자 (청계동)",Y,24시간,1,1,37.3897536,126.9949848
보우상가,"경기도 의왕시 내손로 76, 보우상가 (내손동)",Y,24시간,1,1,37.386779,126.9794467
대덕하이베라스,"경기도 의왕시 경수대로 292, 대덕하이베라스 (오전동)",Y,24시간,1,1,37.3526854,126.9719655
서해그랑블,경기도 의왕시 경수대로 262 (오전동),Y,24시간,1,1,37.3503555,126.973591
벨포레스퀘어,경기도 의왕시 내손중앙로 4 (내손동),Y,24시간,1,1,37.3891201,126.9768878
부곡 119 안전센터,"경기도 의왕시 오봉로 289, 부곡119안전센터 (삼동)",N,24시간,1,0,37.3277024,126.9521454
부곡 복지관,"경기도 의왕시 부곡복지관길 53, 부곡동복지회관복지어린이집 (삼동)",N,근무중,1,1,37.3248808,126.9571135
부곡동 주민센터,"경기도 의왕시 부곡시장길 75, 부곡동 주민센터 (삼동)",N,근무중,1,1,37.31867580000001,126.9567563
부곡스포츠센터,"경기도 의왕시 부곡시장길 77, 부곡스포츠센터 (삼동)",N,근무중,1,1,37.3185291,126.957405
부곡체육공원,"경기도 의왕시 부곡공원길 6, 부곡체육공원 (월암동)",Y,근무중,1,1,37.3140905,126.959241
부곡파출소,"경기도 의왕시 한백이길 3, 부곡파출소 (삼동)",N,24시간,1,1,37.3223688,126.9489464
사랑채 노인복지관,"경기도 의왕시 복지로 109, 내손동 공용청 (내손동)",N,근무중,1,1,37.38753930000001,126.9816303
산빛 근린공원,경기도 의왕시 포일세거리로 44 (포일동),Y,24시간,1,1,37.3998741,126.988306
성우 벤처빌,"경기도 의왕시 한밭들1길 11, 성우벤처빌 (고천동)",N,영업중,1,1,37.3530744,126.965658
시청외곽 약수터,"경기도 의왕시 시청로 11, 의왕시청 (고천동)",Y,24시간,1,1,37.3448076,126.9687218
시티병원,"경기도 의왕시 오전천로 29, 시티병원 (오전동)",Y,진료중,1,1,37.3503492,126.976825
아름채 노인복지관,"경기도 의왕시 문화공원로 47, 아름채노인복지관 (고천동)",Y,근무중,1,1,37.3428334,126.9725368
열린스타셀프주유소,"경기도 의왕시 모락로 117, 열린주유소(LG) (오전동)",N,영업중,1,1,37.3682927,126.9661385
오전119안전센터,"경기도 의왕시 경수대로 344, 오전119안전센터 (오전동)",N,24시간,1,1,37.35625479999999,126.9685319
오전동 가족공원,"경기도 의왕시 오전로 185, 오전로가족공원 화장실 (오전동)",Y,24시간,1,1,37.3571038,126.9686463
오전동 주민센터,"경기도 의왕시 찬우물길 11, 오전동 주민센터 (오전동)",N,근무중,1,1,37.3535329,126.9715039
의왕우체국,"경기도 의왕시 효행로 45, 의왕우체국 (오전동)",N,근무중,1,1,37.3513665,126.9725872
자연학습공원,경기도 의왕시 왕송못동로 221 (월암동),Y,24시간,1,1,37.3096634,126.9507664
책마루 의왕시 중앙도서관,"경기도 의왕시 골우물길 49, 책마루의왕시중앙도서관 (고천동)",N,도서관 개방시간,1,1,37.3422674,126.9697893
철도박물관,"경기도 의왕시 철도박물관로 142, 철도박물관 (월암동)",Y,근무중,1,1,37.314123,126.9512911
청계 상청계교,경기도 의왕시 청계로 247 (청계동),Y,24시간,1,1,37.4048694,127.0145876
장호원복숭아축제장화장실,"경기도 이천시 장호원읍 서동대로8759번길 117, 장호원농산물유통센터",N,00:00~00:00,1,1,37.1182617,127.6127254
장호원읍 행정복지센터,경기도 이천시 장호원읍 서동대로 8844-6,N,09:00~18:00,2,0,37.1149337,127.6171384
이천시노동자종합복지관 화장실,경기도 이천시 부발읍 무촌로18번길 60-26,N,08:00~22:00,0,4,37.2783858,127.4780199
관고동 행정복지센터,경기도 이천시 설봉로 65 (관고동),Y,080:30~21:00,1,1,37.28233,127.4379466
남천공원,경기도 이천시 어재연로10번길 25,Y,09:00~22:00,1,1,37.2780983,127.4446099
마장면 행정복지센터 화장실,경기도 이천시 마장면 오천로 107,N,09:00~18:00,2,2,37.2488603,127.3579548
마장체육시설 화장실,경기도 이천시 마장면 오천로 105-26,N,09:00~18:00,1,1,37.2493573,127.3586804
백사면 행정복지센터,"경기도 이천시 백사면 현방로 65, 백사면사무소",N,09:00~18:00,1,1,37.339073,127.4907585
상하수도사업소,경기도 이천시 부발읍 중부대로1390번길 293,N,09:00~18:00,1,0,37.2708552,127.4827129
설봉공원(남문뒤) 화장실,경기도 이천시 경충대로2709번길 128,Y,09:00~22:00,1,1,37.2790093,127.4277686
설봉공원(대공연장) 화장실,경기도 이천시 경충대로2709번길 128,Y,09:00~22:00,1,1,37.2790093,127.4277686
설봉공원(레포츠공원) 화장실,경기도 이천시 경충대로2709번길 128,Y,09:00~22:00,0,1,37.2790093,127.4277686
설봉공원(박물관 뒤) 화장실,경기도 이천시 경충대로2709번길 128,Y,09:00~22:00,1,1,37.2790093,127.4277686
설봉공원(쌍둥이) 화장실,경기도 이천시 경충대로2709번길 128,Y,09:00~22:00,1,1,37.2790093,127.4277686
신둔 실내체육관,경기도 이천시 신둔면 경충대로3234번길 37,N,08:00~18:00,1,1,37.3156986,127.3983075
신둔면 행정복지센터,"경기도 이천시 신둔면 경충대로 3128, 신둔면사무소",N,09:00~18:00,1,0,37.3061693,127.4038706
신둔체육공원,경기도 이천시 신둔면 경충대로3234번길 37,Y,08:00~18:00,1,1,37.3156986,127.3983075
온천공원 운동장 화장실,"경기도 이천시 애련정로136번길 84, 평생학습북카페 (창전동)",Y,09:00~22:00,1,1,37.2819916,127.4520614
율면체육시설 실내화장실,경기도 이천시 율면 고당로 109-9,N,09:00~18:00,1,0,37.0929438,127.5440853
이천의료원,경기도 이천시 경충대로 2742 (관고동),N,08:30~17:30,3,3,37.2826974,127.4329366
증포동 행정복지센터,"경기도 이천시 증신로156번길 15, 증포동주민센터 (증포동)",Y,09:00~18:00,1,1,37.2903549,127.4524868
진암공원화장실,경기도 이천시 장호원읍 서동대로8880번길 75-52,N,09:00~22:00,1,1,37.1129454,127.6196964
창전동 행정복지센터,"경기도 이천시 영창로163번길 22, 창전동주민센터 (창전동)",N,09:00~18:00,1,1,37.2828095,127.4412049
한울림관,경기도 이천시 설봉로 65 (관고동),Y,09:00~18:00,1,1,37.28233,127.4379466
호법면 행정복지센터,"경기도 이천시 호법면 이섭대천로527번길 27, 호법면사무소",N,09:00~18:00,1,1,37.2231507,127.4249158
호법면복지회관,경기도 이천시 호법면 이섭대천로527번길 27,N,09:00~18:00,1,0,37.2229765,127.4248418
호법면체육공원,"경기도 이천시 호법면 동산로395번길 139-38, 농어민문화체육센터",Y,09:00~22:00,1,1,37.21536890000001,127.40593
(주)효자원,"경기도 이천시 백사면 지읍로 169, 효자원",N,00:00~00:00,1,2,37.32124,127.477317
NC백화점 이천점,"경기도 이천시 영창로 165, 엔씨백화점 (창전동)",N,10:30~21:00,1,1,37.2818947,127.4411316
대림 주유소,"경기도 이천시 장호원읍 장여로 361, 대림주유소",N,07:00~20:00,0,1,37.1496941,127.6260963
덕평자연휴게소,"경기도 이천시 마장면 덕이로154번길 287-76, 덕평휴게소",N,00:00~00:00,2,2,37.2412764,127.3901886
장흥119안전센터,경기 양주시 장흥면 일영로 794 (일영리),N,24시간,1,1,37.7121962,126.936461
양주경찰서,"경기 양주시 평화로 1699 (회정동, 양주경찰서)",N,24시간,0,1,37.8408995,127.0542619
양주고용복지플러스센터 1층,경기도 양주시 부흥로1533,N,9시간,1,1,37.7849941,127.0453553
양주별산대놀이마당,"경기 양주시 부흥로1399번길 47 (유양동, 양주별산대놀이마당)",Y,수시개방,1,1,37.78610080000001,127.0315184
농업기술센터,"경기 양주시 광적면 지섬로 162 (광석리, 양주시 농업기술센터)",N,9시간,1,1,37.8221423,126.974296
양주시립장욱진미술관,경기 양주시 장흥면 권율로 193 (석현리),N,8시간,1,1,37.7319453,126.9491654
양주시문화예술회관,"경기 양주시 광적면 부흥로618번길 303 (광석리, 양주문화예술회관)",N,9시간,1,1,37.8131434,126.9721575
양주시보건소,"경기 양주시 부흥로 1533 (남방동, 양주시보건소)",N,9시간,0,1,37.7855648,127.0466233
양주역,"경기 양주시 평화로 919 (남방동, 양주역)",Y,전철운행시간개방,1,1,37.7741542,127.0448511
양주희망도서관(2층),"경기 양주시 삼숭로38번길 78-47 (삼숭동, 양주희망도서관)",N,운영시에만 개방,1,0,37.7957342,127.1072138
에코스포츠센터,경기 양주시 은현면 은남로 177 (하패리),N,16시간,0,1,37.8947089,127.0107775
이마트 이천점 고객 화장실,경기도 이천시 이섭대천로 1440-50 (증포동),N,10:00~23:00,1,1,37.2941374,127.4589266
이천 엘리야 병원,"경기도 이천시 장호원읍 서동대로 8793, 이천엘리야병원",N,00:00~00:00,1,1,37.1151975,127.6123518
이천(하남)주유소,"경기도 이천시 신둔면 서이천로853번길 346-149, 액화석유가스충전소",N,00:00~00:00,1,1,37.29440719999999,127.3758664
고읍도서관(1층),"경기 양주시 고읍남로 207 (광사동, 고읍도서관)",N,정시(09:00∼22:00)/ 휴관일 제외,1,1,37.7917717,127.0846459
고읍제2근린공원(놀이터동)공중화장실,경기 양주시 고읍남로 205,Y,24시간,1,1,37.7929612,127.0827981
고읍제4근린공원 공중화장실,경기 양주시 고읍남로 46 (광사동),Y,24시간,1,1,37.792269,127.0767121
광적도서관 1층,"경기도 양주시 광적면 광적로42번길 5, 광적도서관",N,13시간,1,1,37.8231006,126.9828813
롯데마트 이천점,"경기도 이천시 구만리로 191 (안흥동, 롯데캐슬 골드스카이)",N,10:00~23:00,1,1,37.2744234,127.454369
롯데프리미엄아울렛(백자동),"경기도 이천시 호법면 프리미엄아울렛로 177-74, 롯데 프리미엄 아울렛",N,(평일)10:30~20:30+(주말)10:30~21:00,8,8,37.24225260000001,127.4000798
롯데프리미엄아울렛(청자동),"경기도 이천시 호법면 프리미엄아울렛로 177-119, 롯데프리미엄아울렛",N,(평일)10:30~20:30+(주말)10:30~21:00,4,4,37.24225260000001,127.4000798
롯데프리미엄아울렛(키즈몰),경기도 이천시 호법면 프리미엄아울렛로 177-76,N,(평일)10:30~20:30+(주말)10:30~21:00,1,1,37.2433143,127.3994758
롯데프리미엄아울렛(패션몰),경기도 이천시 호법면 프리미엄아울렛로 177-120,N,(평일)10:30~20:30+(주말)10:30~21:00,1,1,37.2437413,127.3985729
인라인스케이트장 야외용화장실,경기도 이천시 부발읍 중부대로 1696,N,00:00~24:00,1,1,37.2861133,127.4967125
종합운동장 A구역 1층(야구장),경기도 이천시 부발읍 중부대로 1696,Y,09:00~18:00,2,2,37.2861133,127.4967125
종합운동장 B구역 1층,경기도 이천시 부발읍 중부대로 1696,N,09:00~18:00,2,2,37.2861133,127.4967125
종합운동장 C구역 1층,경기도 이천시 부발읍 중부대로 1696,N,09:00~18:00,2,2,37.2861133,127.4967125
종합운동장 D구역 1층,경기도 이천시 부발읍 중부대로 1696,N,09:00~18:00,2,2,37.2861133,127.4967125
종합운동장 야외화장실(동),경기도 이천시 부발읍 중부대로 1696,Y,00:00~00:00,1,1,37.2861133,127.4967125
광적면행정복지센터,"경기 양주시 광적면 가래비길 93 (가납리848-2, 광적면사무소)",Y,9시간,1,1,37.8245455,126.9837035
남면도서관,"경기 양주시 남면 개나리17길 24 (신산리, 남면도서관)",N,9시간,1,1,37.8980773,126.9758804
남면사무소,"경기 양주시 남면 개나리17길 6 (신산리, 남면사무소)",Y,9시간,1,1,37.8981886,126.9767935
남면주민자치센터,"경기 양주시 남면 개나리19길 25 (신산리, 남면주민자치센터)",N,9시간,2,1,37.8979493,126.9766402
남면파출소,"경기 양주시 남면 개나리길 50 (신산리, 남면파출소)",N,24시간,1,1,37.8958277,126.9745716
농업기술센터,"경기 양주시 광적면 지섬로 162 (광석리, 양주시 농업기술센터)",N,9시간,1,1,37.8221423,126.974296
농촌테마공원1,경기 양주시 은현면 그루고개로221번길 264-21,N,9시간,1,1,37.8430302,126.9984821
농촌테마공원2,경기 양주시 은현면 그루고개로221번길 264-21,N,9시간,1,1,37.8430302,126.9984821
농촌테마공원3,경기 양주시 은현면 그루고개로221번길 264-21,N,9시간,1,1,37.8430302,126.9984821
덕계근린공원 관리동A 공중화장실,경기 양주시 평화로1435번길 56 (덕계동),Y,24시간,1,1,37.8210171,127.0465435
덕계근린공원 주처장B 공중화장실,경기 양주시 평화로1435번길 56 (덕계동),Y,24시간,1,1,37.8210171,127.0465435
덕계역,"경기 양주시 고덕로139번길 317 (덕계동, 덕계역)",Y,19시간,1,1,37.8165007,127.0605231
양지 의료 재단 (양지요양병원),"경기도 이천시 호법면 덕평로 224, 양지요양병원",N,00:00~00:00,1,1,37.1873357,127.3777824
덕정도서관(1층),경기 양주시 화합로1371번길 11 (덕정동),N,정시(09:00~22:00),1,0,37.8430282,127.0631042
덕정역,"경기 양주시 화합로 1356 (덕정동, 덕정역)",Y,19시간,1,1,37.8429678,127.0615177
은남통합보건지소,"경기 양주시 남면 화합로610번길 161-13 (상수리, 은남통합보건지소)",Y,9시간,1,1,37.8701092,127.006347
은현면 행정복지센터,"경기도 양주시 은현면 은현로 66, 은현면 행정복지센터",N,9시간,1,1,37.8748472,127.0245166
은현체육관,경기 양주시 은현면 은현로 74 (선암리),N,10시간,1,1,37.8756613,127.0246166
독바위공원 1,경기도 양주시 옥정동 889,Y,24시간,1,1,37.8245338,127.0772376
옥정중앙공원 1,경기도 양주시 옥정동 1039,Y,24시간,2,1,37.8243845,127.0975086
고읍도서관(2층),"경기도 양주시 고읍남로 207, 고읍도서관 (광사동)",N,정시(09:00∼22:00)/ 휴관일 제외,1,1,37.7917717,127.0846459
에코실외구장,경기 양주시 은현면 봉암리 38,N,17시간,1,1,37.894619,127.0093308
여성일생활균형지원센터,"경기 양주시 고암길 226 (고암동, 양주시 여성·보육비전센터)",N,9시간,2,1,37.83490510000001,127.0733039
청담공원(덕정) 공중화장실,경기 양주시 덕정동 384-8,Y,24시간,1,1,37.8462261,127.0576738
청담공원(봉양) 공중화장실,경기 양주시 봉양동 849-1,Y,24시간,1,1,37.8652438,127.0598427
회천1동 행정복지센터,"경기도 양주시 화합로1327번길 39, 회천1동 행정복지센터(임시청사) (덕정동)",N,09:00~18:00,0,1,37.8470501,127.0645505
회천2동 행정복지센터,"경기 양주시 평화로1475번길 39 (덕계동, 회천2동주민센터)",N,9시간,1,1,37.82244920000001,127.0478443
회천3동 행정복지센터,"경기 양주시 회정로 143 (덕정동, 회천3동 주민센터)",N,9시간,1,1,37.8378088,127.0689251
옥정1동 행정복지센터,"경기도 양주시 옥정로 397-7, 옥정1동 행정복지센터 (옥정동)",N,9시간,1,1,37.837092,127.0902954
신산시장 공중화장실,경기 양주시 남면 신산리 280-3,Y,24시간,1,1,37.89685910000001,126.9741286
신산체육공원 공중화장실,"경기 양주시 남면 감악산로244번길 189 (신산리, 신산리공원관리사무소)",Y,24시간,1,1,37.8931566,126.9739385
신천생태하천A,경기 양주시 남면 상수리 115-1,Y,24시간,1,1,37.8711413,126.9960875
신천생태하천C,백석읍 오산리 137-6,Y,24시간,1,1,37.8028313,126.9917878
신천생태하천D,남면 운암리 59-26,Y,24시간,1,1,37.86897,127.0219155
눈높이 배드민턴장,경기도 이천시 부발읍 중부대로 1696,N,08:00~22:00,1,1,37.2861133,127.4967125
서희청소년문화센터 화장실,경기도 이천시 영창로 260,Y,09:00~20:00,4,2,37.280379,127.4517315
이천시청 화장실,경기도 이천시 부악로 40,Y,09:00~18:00,9,9,37.2716884,127.43436
중리동행정복지센터 화장실,경기도 이천시 남천로 31 (중리동),Y,09:00~20:00,1,1,37.2780432,127.4411605
노성산시민공원(설성) 화장실,경기도 이천시 설성면 수산리 89-4,Y,09:00~18:00,1,1,37.1286076,127.505979
설성면행정복지센터,경기도 이천시 설성면 설장로17번길 6-5,N,09:00~18:00,1,1,37.1324627,127.5217918
설성실내체육관,경기도 이천시 설성면 진상미로665번길 238-28,Y,09:00~18:00,1,1,37.1311085,127.5072996
이천농업테마공원 너와집(쌀체험촌 펜션),경기도 이천시 모가면 공원로 48,Y,09:00~18:00,1,1,37.1776204,127.4446145
이천농업테마공원 안내센터,경기도 이천시 모가면 공원로 48,Y,09:00~18:00,1,0,37.1776204,127.4446145
추모의집,경기도 이천시 백사면 지읍로53번길 159,Y,09:00~18:00,4,4,37.3160197,127.4754116
자연장지,경기도 이천시 부발읍 황무로1719번길 189,N,09:00~18:00,4,2,37.2744267,127.5274369
성안드레아 병원,"경기도 이천시 마장면 서이천로320번길 109-84, 성안드레아병원",N,09:00~17:30,1,1,37.24584780000001,127.3882386
종합운동장 야외화장실(서),경기도 이천시 부발읍 중부대로 1696,Y,00:00~00:00,1,1,37.2861133,127.4967125
양주1동행정복지센터,"경기도 양주시 외미로64번길 45, 양주1동 행정복지센터 (남방동)",N,9시간,1,1,37.77323459999999,127.0438727
