화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female
신곡2동주민센터,"경기도 의정부시 추동로23번길 7 (신곡동, 신곡2동주민센터)",N,09:00~18:00,1,1
신곡2동주민센터 별관,"경기도 의정부시 추동로23번길 7 (신곡동, 신곡2동주민센터)",N,09:00~18:00,0,1
동막교,경기도 의정부시 백석로 129 (호원동),Y,00:00~00:00,1,1
천보근린공원,경기도 의정부시 새말로 38 (금오동),Y,00:00~00:00,1,1
왕바우근린공원,경기도 의정부시 서광로 232 (고산동),Y,00:00~00:00,1,1
곤제근린공원,경기도 의정부시 송현로 123 (낙양동),Y,00:00~00:00,1,1
평화의광장(남측),경기도 의정부시 시민로 12 (의정부동),Y,00:00~00:00,1,1
본둔야 제2공영주차장,경기도 의정부시 신곡동 211-7,Y,00:00~00:00,1,1
행복누리공원화장실,경기도 의정부시 신촌로 79 (가능동),Y,00:00~00:00,1,1
다리목공원,경기도 의정부시 용민로 105 (민락동),Y,00:00~00:00,1,1
푸른물빛공원(한옥)화장실,경기도 의정부시 용민로 457 (민락동),Y,00:00~00:00,1,1
직동근린공원(청소년회관 뒤),경기도 의정부시 의정로 27-35 (의정부동),Y,00:00~00:00,1,1
캠프 라과디아 체육공원,경기도 의정부시 의정부동 340,Y,00:00~00:00,1,1
신의교 인근 공중화장실,경기도 의정부시 의정부동 38-61,Y,00:00~00:00,1,1
자일동 산림욕장 공중화장실,경기도 의정부시 자일동 산87,N,00:00~00:00,1,1
행복갤러리&공중화장실,경기도 의정부시 장곡로 147 (장암동),Y,00:00~00:00,1,1
부용천 땅콩화장실,경기도 의정부시 장곡로 463 (신곡동),Y,00:00~00:00,1,1
중랑천 장암동 135-48 화장실,경기도 의정부시 장암동 135-48,Y,00:00~00:00,1,1
파크골프장 공중화장실,경기도 의정부시 서계로 26 (장암동),Y,00:00~00:00,1,0
중랑천(호장교 동),경기도 의정부시 장암동 299-8,Y,00:00~00:00,1,1
중랑천(호장교 서),경기도 의정부시 평화로 104-24 (호원동),Y,00:00~00:00,1,1
역전근린공원 공중화장실,경기도 의정부시 평화로 535 (의정부동),Y,00:00~00:00,1,1
상록근린공원,경기도 의정부시 호국로 1562 (금오동),Y,00:00~00:00,1,1
